phase,image_url,contributor_id,gender,age_group,language,voice_clip,duration,up_votes,down_votes,transcript
1.1,https://storage.googleapis.com/image_prompts/1692884855-5886.jpg_s=612x612_w=0_k=20_c=FEDq_Bc9pRy6EfZQ0UKuQzpshDIeQZARuOUov_cWGzM=.jpg,667,Male,18-29,Luganda,yogera_image_audio_20240129_024340.710486_1087.wav,0.00527777777777778,3,0,"Bbendera y'ensi Uganda. Erimu obukuubo obwa langi ez'eggwanga. Mulimu akaddugavu, mulimu aka kyenvu, mulimu n'akamyufu. Mu masekkati gaayo, mulimu ekinyonyi ky'eggwanga. "
1.1,https://storage.googleapis.com/image_prompts/unsplash-kziw8XX.jpg,666,Female,18-29,Luganda,yogera_image_audio_20240127_223403.468273_2918.wav,0.00527777777777778,2,1,Ennyanja mm nnene nnyo era teyina mayengo mangi obudde bwa kawungeezi era n'ebire bikwafu ebimu si bikwafu.
1.1,https://storage.googleapis.com/image_prompts/unsplash-Rg74KZv.jpg,665,Female,18-29,Luganda,yogera_image_audio_20240127_223532.746854_2782.wav,0.00694444444444444,3,0,Amaato ag'enjawulo gali ku nnyanja era nga mayitirivu nnyo gaseeyeeyeza okwo ng'eri ku mabbali waliyo ebizimbe ebyazimbibwa nga biraga bigumu baabizimba mu nzimba etali ya bulijjo naye ng'amazzi gano okuli amaato matebenkevu.
1.1,https://storage.googleapis.com/image_prompts/8d274bb9-_DSC0211-checkpoint.JPG,648,Male,50-59,Luganda,yogera_image_audio_20240127_224416.752319_2121.wav,0.00444444444444444,3,0,"Bino bifaananyi ebiraga ebyobuwangwa, kuliko abakyala basatu, kuliko endongo n'ebivuga ebirala."
2.0,https://storage.googleapis.com/image_prompts/village2.jpg,1408,Male,30–39,Luganda,yogera_image_audio_20240617_023937.074215_3033.wav,0.0111111111111111,3,0,"Ennyanja erimu amazzi agalabika obulungi agatukula era ng'ennyanja eno erimu obuzinga butonotono mu sayizi naye ng'obuzinga obwo nabwo bwa kiragala omulungi ennyo. Ku mabbali gaayo nga waliwo olusozi, olusozi olwo lulimu n'ekikko wabula nga nalwo luliko omuddo ogwa kiragala obulungi, kuliko emiti emitonotono wabula nga kuliko n'ebitooke era nga ku lusozi olwo kuliko n'ennyumba ntonotono eriko ebbaati lya kiragala."
1.1,https://storage.googleapis.com/image_prompts/fb475aac-unsplash-pNrDXhM.jpg,675,Female,18-29,Luganda,yogera_image_audio_20240127_224930.418289_2489.wav,0.00416666666666667,3,0,Mu kifaananyi kino ndaba emmwanyi era emmwanyi zino ziraga nti zikyali nto kuba ziri mu kkala eya kiragala ndaba n'ebikoola byazo era mu kkala eya kiragala. 
1.1,https://storage.googleapis.com/image_prompts/5beec595-white-water-rafting-354505_1280.jpg,648,Male,50-59,Luganda,yogera_image_audio_20240127_225601.678286_1337.wav,0.00527777777777778,3,0,"Bano bantu bali mu lyato mu nnyanja. Amazzi gatankuuse, mayengo mangi naye bonna bambadde eby'oku mutwe n'ebikooti bikakuumabulamu."
1.1,https://storage.googleapis.com/image_prompts/1692884849-5803.jpg_s=612x612_w=0_k=20_c=-_YWzAzKQflosRxXErKIrxt2SlzzrmgEGJmQ_bt4HvQ=.jpg,677,Male,18-29,Luganda,yogera_image_audio_20240127_230531.934349_1023.wav,0.00416666666666667,3,0,Wano ndaba oluguudo olwa kkoolaasi era nga ku mabbali gaalwo waliwo ebizimbe ebya kalina ebyazimbibwawo. Nnengera nga ku mabbali era kusimbyeko emmotoka ez'enjawulo.
2.0,https://storage.googleapis.com/image_prompts/1692885108-9044.jpg_s=612x612_w=0_k=20_c=f0foeyeLt6iG8iE3nBO62YPSWJrZNqHh14dLBDRol9w=.jpg,1475,Male,40–49,Luganda,yogera_image_audio_20240621_134942.860590_2219.wav,0.0116666666666667,2,1,"Buno obuyumba bwazimbibwa mu nzimba eyaffe era ey'ekiddugavu kyokka we buli bwetooloddwa emiti egirabika obulungi, ne oluggya lwennyini lwasimbibwamu omuddo, lulabika bulungi. Oluggya lupaakingiddwamu n'emmotoka, kitegeeza nnyiniwo ayinamu n'ezigula emmotoka. Abamu nno bayinza okugamba nti nze sisobola ggula mmoloka nga sinnazimba nnyumba ya mabaati kyokka ye nnyini wano akyali mu ya ssubi naye emmotoka avuga. "
1.1,https://storage.googleapis.com/image_prompts/1692884871-6153.jpg_s=612x612_w=0_k=20_c=zGwbwJSniXKjb3danW-osSSuP4uJbAP3lNDDuegSIYU=.jpg,663,Female,30-39,Luganda,yogera_image_audio_20240127_233138.429380_1142.wav,0.00472222222222222,3,0,Essinzizo eddene eriri mu langi eya kiragala n'eya kitaka eggulu nalyo lirabika nga lya bbulu era nga liriko ebire ebitonotono.
1.1,https://storage.googleapis.com/image_prompts/pexels-photo-11895726.jpeg,447,,,Luganda,yogera_image_audio_20240127_233337.339797_2520.wav,0.00527777777777778,2,1,"Abavubuka b'ensangi zino baagala nnyo okweteeka mu butaala. Bw'otunuulira abavubuka bano, omu ataddeko sseppeewo ate omulala ali awo ayina akaggo k'akutte ng'ate katera okubeera oba y'embubbu? Tuyinza okugamba nti bino byonna babikola okusobola okubaawo obulungi."
1.1,https://storage.googleapis.com/image_prompts/eb7d6912-1692885161-9828.jpg_s612x612_w0_k20_c5GHoD7k5qrRY8N_r-GlaxtuPfBlDudgb_sXhnL1y.jpg,433,Female,30-39,Luganda,yogera_image_audio_20240127_233939.741257_1990.wav,0.00527777777777778,2,1,"Eno nno mpisi, eri mu nsiko era ng'eyina obutolobojjotolobojjo ku lususu lwayo oba ku byoya byayo. Eyimiridde mu nsiko naye ng'omuddo gw'eyimiriddemu mukalu, gulina langi eya kitaka."
1.1,https://storage.googleapis.com/image_prompts/f3de6549-uganda-2314807_1280.jpg,648,Male,50-59,Luganda,yogera_image_audio_20240127_234431.467421_1384.wav,0.005,3,0,"Eno mmotoka ya poliisi eyimiridde, abamu batudde waggulu abalala bayimiridde. Ono agiri emabega ali mu kyambalo ky'amagye ayina emmundu."
1.1,https://storage.googleapis.com/image_prompts/d17939a8-uganda-251921_1280.jpg,663,Female,30-39,Luganda,yogera_image_audio_20240127_234317.047497_1373.wav,0.00416666666666667,3,0,"Enjovu ennene era enkulu ddala ng'eyimiridde mu buti obw'amaggwa, erina ky'etunuulira enkaliriza."
1.1,https://storage.googleapis.com/image_prompts/ba4e6591-unsplash-RLApWye.jpg,663,Female,30-39,Luganda,yogera_image_audio_20240127_234712.581049_2409.wav,0.00611111111111111,3,0,Abalambuzi nga bafulumye mu mmotoka yaabwe okumpi awo waliwo omuti era waliwo n'olusozi ku mabbali awo mmaaso eri olaba kyererezi n'ekiwonvu ekirimu emiti egiwerako.
1.1,https://storage.googleapis.com/image_prompts/pexels-photo-12241320.jpeg,447,,,Luganda,yogera_image_audio_20240127_235150.709316_2521.wav,0.005,3,0,Abantu bangi abazze ku mukolo omukolo guno gulabika nga bwa byafaayo ate era nga bwa byabuwangwa awo nno omuntu buli muntu asemberawo asemberawo agezaako okubeera ng'anyeenyaako ku magumba si kuba nga lumuleka lutyo.
1.1,https://storage.googleapis.com/image_prompts/c70b6612-unsplash-WjcDHVw.jpg,675,Female,18-29,Luganda,yogera_image_audio_20240127_235551.258722_2428.wav,0.00416666666666667,3,0,Ndaba abaana abaali batudde awamu nga bali mu kulya mmere ku ssowaani era abaana bano we baali batudde nga waliwo kkala eya kiragala.
1.1,https://storage.googleapis.com/image_prompts/pexels1.jpeg,433,Female,30-39,Luganda,yogera_image_audio_20240128_000600.773620_2558.wav,0.005,3,0,Ono nno omwana mwana mulenzi atudde ku kakutiya emabbali waliwo ebintu ebitundibwa ziriᵑᵑaᵑᵑa nti nsigosigo omwana ono mu ngalo ze akutte ssente nga kiraga y'ali mu kutunda ebintu bino.
1.1,https://storage.googleapis.com/image_prompts/1692885155-9747.jpg_s=612x612_w=0_k=20_c=4zTLEFWeJQU4PrKi_-900zTQM74KYEeiJEPMV73D5tc=.jpg,675,Female,18-29,Luganda,yogera_image_audio_20240128_001227.208162_1301.wav,0.00416666666666667,2,1,Mu kifaananyi kino nnengera amagulu ag'abaana abalabika okuba nti basoma era nnengera bambadde sitookisi za kkala mmyufu bambadde n'engatto enzirugavu.
1.1,https://storage.googleapis.com/image_prompts/Image Prompts/Fishing/unsplash-5zfaOJk.jpg,433,Female,30-39,Luganda,yogera_image_audio_20240128_001852.094291_2333.wav,0.005,3,0,Omukyala alabika asitamye aweese omwana ku mugongo naye omwana ono yeebase. Omukyala ye asibye ekitambaala ku mutwe era nga yawummula amatu alinganga ali mu nnimiro era...
1.1,https://storage.googleapis.com/image_prompts/e07a7924-unsplash-X2QRsTJ.jpg,447,,,Luganda,yogera_image_audio_20240128_002047.574459_2459.wav,0.00694444444444444,3,0,Gano ge gamu ku maato agasembayo obunene mu nsi yonna era nga ganyirira munda bw'otunuulira eryato lino osobola okulowooza nti nno nnyumba eri mu kutambula gakulumula abagagga okuva yonna gye ga bali  okusobola okwefunira ku kakisa okulinnya mu maato ago.
1.1,https://storage.googleapis.com/image_prompts/unsplash-pvqsmch.jpg,648,Male,50-59,Luganda,yogera_image_audio_20240128_002530.517851_2969.wav,0.005,2,1,"Eno nnyanja, mu mabbali eno waliyo olusozi oluliko ebiyinjayinja. Obudde bulabika nga bwa kiro okusinziira ku langi eri ku mazzi."
1.1,https://storage.googleapis.com/image_prompts/4e267549-african-home-2007186_1280.jpg,665,Female,18-29,Luganda,yogera_image_audio_20240128_002544.289769_1837.wav,0.00666666666666667,3,0,"Amayumba agaazimbibwa emmuli n'ettaka ng'emu baagiseresa na ssubi, endala baagiseresa na mabaati. Gali mu luggya lwe lumu era ng'oluggya luno eno luddugala, lulimu ebintuntu. Mu maaso g'ennyumba eno eyaserekebwa essubi waliwo ebidomola ebisale ebiri mu maaso gaayo."
1.1,https://storage.googleapis.com/image_prompts/ccc3f9ad-unsplash-BkqHhIn.jpg,648,Male,50-59,Luganda,yogera_image_audio_20240128_002556.018584_2436.wav,0.00416666666666667,3,0,Lino ddundiro lya bisolo ndaba ekimu ku bisolo eby'omu nsiko n'omuddo mukalu.
