phase,image_url,contributor_id,gender,age_group,language,voice_clip,duration,up_votes,down_votes,transcript
1.1,https://storage.googleapis.com/image_prompts/unsplash-QR8OQnf.jpg,623,Female,30-39,Luganda,yogera_image_audio_20240103_194950.884569_2772.wav,0.0052777777777777,3,0,Ekifaananyi kiraga akamuli aka langi eya bbulu kavuddeyo bulungi bambi kalabika bulungi era nga waliwo enjuki nga eraga nti eri mu kuva mbimuli ebyo edda oludda luno yeeyongereyo.
1.1,https://storage.googleapis.com/image_prompts/1692884852-5856.jpg_s=612x612_w=0_k=20_c=LUsl6aM0MZHgEhVcb_m3nWcKE8bXby-ESFkAEvUupyk=.jpg,433,Female,30-39,Luganda,yogera_image_audio_20240126_005843.213180_1069.wav,0.0047222222222222,3,0,Lino zzike liyina kye litunuulira. Diyina ebyoya ebiddugavu. Diri mu nsiko mu nsiko mujjudde ebikoola ebimyufu. Ezzike lino dirabika liyina gwe lyali litunuulidde era nga lyetegereza. 
1.1,https://storage.googleapis.com/image_prompts/1692884858-5949.jpg_s=612x612_w=0_k=20_c=KlRPtpQHE3RgN8_KLW6FXnajbUYv2unruG6-E6CXUog=.jpg,433,Female,30-39,Luganda,yogera_image_audio_20240126_020717.076157_1125.wav,0.0075,3,0,"Abaana beetisse enku ku mutwe, balabika bava kutyaba nku. Bali ne maama waabwe era aweese omwana ku mugongo. Abaana bano balabika bakoowu era mu mabbali waliwo omukyala asibye ekitambaala ku mutwe era waliwo ennimiro erina ebirime bya langi eya kiragala."
1.1,https://storage.googleapis.com/image_prompts/41aec97b-children-of-uganda-2314806_1280.jpg,665,Female,18-29,Luganda,yogera_image_audio_20240127_001007.551273_1329.wav,0.0055555555555555,3,0,Omwana mulenzi omuto yeetisse ekikutiya ku mutwe alaga ayina gy'ava era ayina by'ava okusaka atambula ayina gy'alaga. Obudde butandise okuwungeererera era ng'ali mu kwanguwa addeyo ewaka enzikiza temusanga.
1.1,https://storage.googleapis.com/image_prompts/pexels-photo-3889927.jpeg,447,,,Luganda,yogera_image_audio_20240126_235648.984313_2531.wav,0.0075,3,0,"Waliwo abantu Katonda be yawa emitima nga migumu kuba bw'otunuulira ekiyiriro nga kino bwe kifaanana, kizibu nnyo okugamba nti osobola yadde okwewaayo okuyimirira okumpi nakyo we kiri. Waliwo omuntu alabibwa ng'ayambadde olugoye olwa kyenvu waggulu so ng'ate ne wansi ndowooza ayambadde olugoye lwa bbululu, alinnya amazzi gye gava."
1.1,https://storage.googleapis.com/image_prompts/2928a09a-1692885186-10243.jpg_s612x612_w0_k20_c-Ee5lSUxTtikTaLUzGhO1mL3NqfV6S9_iydr8BB.jpg,665,Female,18-29,Luganda,yogera_image_audio_20240127_004645.098388_1803.wav,0.0052777777777777,3,0,"Ekkubo ery'ettaka era nga teriyisaako bantu bangi. Ekkubo ly'eno ggazi, liyita wakati mu kibira ng'emabbali waliyo ettale. Ekibira kino eno si kikwafu nnyo naye kyamera waggulu ku lusozi."
1.1,https://storage.googleapis.com/image_prompts/unsplash-5bpsS0D.jpg,466,Male,18-29,Luganda,yogera_image_audio_20240127_022107.226341_2616.wav,0.0011111111111111,3,0,Ebintu bino bikozesebwa mu buyonjo era nga bitudde ku mmeeza ey'embaawo.
1.1,https://storage.googleapis.com/image_prompts/unsplash-8mUOUXi.jpg,667,Male,18-29,Luganda,yogera_image_audio_20240127_024641.904046_2651.wav,0.0041666666666666,3,0,Omwami omuvubi ayimiridde mu lyato ali mu kunnyuka akutte engasi akuba amazzi mpola mpola ayolekera olukalu.
1.1,https://storage.googleapis.com/image_prompts/8 Ugandan Life Hacks.jpeg,666,Female,18-29,Luganda,yogera_image_audio_20240126_232006.604988_2294.wav,0.0044444444444444,3,0,"Akatandaalo kaliko ebintu. Ebidomola, amaseppiki, amasowaani, wuma n'ebikopo. Byonna biri awo kkatandaalo."
1.1,https://storage.googleapis.com/image_prompts/baed05e9-unsplash-nsiBU5g.jpg,650,Female,18-29,Luganda,yogera_image_audio_20240127_162624.343179_2410.wav,0.0061111111111111,3,0,Kittulakita ekimotoka ekirima era nga kino kiri mu kulima omuddo we kiri waliwo omuddo ogwa kiragala ate eno kyamazeeyo dda okulimayo wayooyoofu.
1.1,https://storage.googleapis.com/image_prompts/unsplash-c14PqpO.jpg,650,Female,18-29,Luganda,yogera_image_audio_20240127_161304.417224_2858.wav,0.0044444444444444,3,0,"Ennyanja, enjuba egwa. Ekitangaala kikubye mu nnyanja, erabika bulungi ddala."
1.1,https://storage.googleapis.com/image_prompts/1692884858-5942.jpg_s=612x612_w=0_k=20_c=lZP2-U49bvYX14uDaqr2oMJzZgGaTGgkrpuFi09qlto=.jpg,650,Female,18-29,Luganda,yogera_image_audio_20240127_161416.708239_1123.wav,0.0083333333333333,3,0,"Omidaala egiriko ebirime, mitegeke bulungi ebirime eby'enjawulo, ennaanasi, lumonde omuganda, obummonde obuzungu, amatooke, ovakkedo, ennyaanya. "
1.1,https://storage.googleapis.com/image_prompts/5cfc4d6e-bicycle-5819891_1280.jpg,650,Female,18-29,Luganda,yogera_image_audio_20240127_145855.733043_1338.wav,0.0094444444444444,3,0,"Akatale omutundibwa engoye n'ebintu ebirala omwami awalula akagaali maanyigakifuba, ayambadde t-shirt emmyufu n'empale eya bbululu, abaana mm batunudde omukyala n'omwami bali emabega w'omwami aa w'eggaali basanyufu."
1.1,https://storage.googleapis.com/image_prompts/unsplash-I8pEczB.jpg,673,Male,30-39,Luganda,yogera_image_audio_20240127_182339.649598_2722.wav,0.0069444444444444,3,0,"Nengera ennyanja nga budde bwa kiro, omwezi gugikubyemu. Wabula nga waliwo n'abaami babiri nga balabika bayina aah obuti bwe bakutte okuli amalabo nga baagala kwevubira ku byennyanja. "
1.1,https://storage.googleapis.com/image_prompts/79e09c69-_DSC0328.JPG,666,Female,18-29,Luganda,yogera_image_audio_20240127_180957.730942_1871.wav,0.0047222222222222,3,0,"Ennyumba nnyingi, era endala zirinaanye amatooke agakula. Era kumpi kuliko n'omuti, endala ziri mu kikomera."
1.1,https://storage.googleapis.com/image_prompts/1692884852-5853.jpg_s=612x612_w=0_k=20_c=15I4gRbmL_W5i6BazERn7qA6JARQkRNE1gATIMa-Ai8=.jpg,650,Female,18-29,Luganda,yogera_image_audio_20240127_195352.332293_1539.wav,0.0061111111111111,3,0,"Ezzike etto lirinnye ku kati waggulu, lyekutte omukono gwalyo waggulu ku katabi k'omuti. Ebikoola by'omuti bya langi ya kiragala."
1.1,https://storage.googleapis.com/image_prompts/1045e598-unsplash-yGa4bSI.jpg,673,Male,30-39,Luganda,yogera_image_audio_20240127_200316.580567_2212.wav,0.0088888888888888,3,0,"Nnengera abaana abawerako abato bali mu myaka mukaaga musanvu munaana mwenda abalenzi n'abawala abamu nga basanyufu abalala nga banyiivu, eh kuliko n'ababiri abawanise obugalo obulaga nti basanyuse."
1.1,https://storage.googleapis.com/image_prompts/1692884885-6293.jpg_s=612x612_w=0_k=20_c=OTP7R_EFBqbtjpjMgbr3NLKFuWT_dKP1LI_pb3wFXnA=.jpg,650,Female,18-29,Luganda,yogera_image_audio_20240127_201754.877830_1162.wav,0.0077777777777777,3,0,"Ekkanisa nnene, yaserekebwa amabaati amamyufu, amadirisa gaayo gaawundibwa bulungi eri mu langi eya kitaka."
