phase,image_url,contributor_id,gender,age_group,language,voice_clip,duration,up_votes,down_votes,transcript
1.0,https://storage.googleapis.com/image_prompts/1692880134-462.3_ixid=M3wxMjA3fDB8MHxzZWFyY2h8M3x8dWdhbmRhfGVufDB8fDB8fHww_w=1000_q=80.jpg,329,Female,18-29,Lumasaba,yogera_image_audio_20231014_123932.425084_1476.wav,0.005,2,1,"Mezi kutulo kwayo kuliko bunyasi ni bisala ni maso wayo iliyo bisala, aliyo bitu biliyo nga zi'nzu abayo zikunku kutulo kundu kwabayo buyila   "
1.1,https://storage.googleapis.com/image_prompts/1692884880-6236.jpg_s=612x612_w=0_k=20_c=9s8FdSjs2QUKwchai-1rvrJvFT-H_CCDqFtHy1Eys1I=.jpg,613,Male,18-29,Lumasaba,yogera_image_audio_20240127_163219.183905_1149.wav,0.0055555555555555,3,0,Hari uno umusani nga wagwarile ijacket ya green wahambile kakhuma kakhala bunyasi kwama mushigona nga ali kukhala ndowoza luwande iliyo namuferi ni bisaala bindi.
1.1,https://storage.googleapis.com/image_prompts/1cf7804e-bill-wegener-B7-l-PISNqE-unsplash.jpg,569,Female,18-29,Lumasaba,yogera_image_audio_20240127_195011.404690_1316.wav,0.005,3,0,"Umwana umukhana akulisa tsinyanye wa'ambile khapapula khetsulemo tsinyanye tsindobe, itsindi warere asi mu siipo ne mumukhono kumulala 
wa'ambile silingi nkumi biili ali khumunamuna."
1.1,https://storage.googleapis.com/image_prompts/unsplash-gQ0II0w.jpg,568,Female,18-29,Lumasaba,yogera_image_audio_20240128_033524.340556_2884.wav,0.0061111111111111,3,0,"Naboone baatu bawanga babusanile'a bikale'a kutegelesa bisi bali kubalegela, mudwela uli mubimali wambile isimu ali ne bisi ali kulegela babikaale. "
1.1,https://storage.googleapis.com/image_prompts/unsplash-gURxrrX.jpg,533,Male,18-29,Lumasaba,yogera_image_audio_20240128_034522.146456_2885.wav,0.0044444444444444,3,0,Lilyato lili khu nyanza lyasutile bibindu bikali bibyene ne kamato kakandi kali luwande ulundi.
1.1,https://storage.googleapis.com/image_prompts/1692884868-6066.jpg_s=612x612_w=0_k=20_c=MVA9F9wp1Gwj0rCoF4AWa-pTmyqIgdaiO0LqIyQ5WVw=.jpg,682,Female,18-29,Lumasaba,yogera_image_audio_20240128_041924.136197_1135.wav,0.0094444444444444,3,0,Indi kubona zikamunye zili hesi zimika ndi kubona baatu bali kujenda balala baza hesi zili balala bali kubita byawe ndikubona bali kulanga nabona zimootoka zindi zikali zi kamuye nabona ni zinzu ziligamu nkubona ni babatu bimikle bimikile.
1.1,https://storage.googleapis.com/image_prompts/1692885115-9132.jpg_s=612x612_w=0_k=20_c=Jwdm8Uzl4FhTGzvz3rsq6NnuLmhYPbEExBcFrAnc4mY=.jpg,533,Male,18-29,Lumasaba,yogera_image_audio_20240128_045951.639929_1758.wav,0.0041666666666666,3,0,Umwana wahambile shitambala mungono alikhusinga khusingila muli baafu libesemu ni ga meezi gali mu libaafu.
2.0,https://storage.googleapis.com/image_prompts/unsplash-O2XsN6w.jpg,846,Male,18–29,Lumasaba,yogera_image_audio_20240511_082118.379789_2754.wav,0.0044444444444444,3,0,"Ih naboone umusani nakhumanya wemikhile oba wekhale eh naboone  umusani wakhala i'cut balikhulolelela kumupila niye esi imbone, nakhumanya sishene sishene shesi ali khukhola ta."
1.1,https://storage.googleapis.com/image_prompts/1692884849-5803.jpg_s=612x612_w=0_k=20_c=-_YWzAzKQflosRxXErKIrxt2SlzzrmgEGJmQ_bt4HvQ=.jpg,682,Female,18-29,Lumasaba,yogera_image_audio_20240128_201606.935734_1496.wav,0.0041666666666666,3,0,"Gusaala, Lugudo lwokolasi, zinzu, zi wire ze gamasanyalaze, zimootoka ni zipikipiki."
1.1,https://storage.googleapis.com/image_prompts/unsplash-pvp0jIn.jpg,679,Female,18-29,Lumasaba,yogera_image_audio_20240128_204505.690625_2968.wav,0.0044444444444444,3,0,"Baatu beseza nga bawambile katiimba akakweesa zinyeni, bagwatile biwale binyimpi, bali kutulo kwe nyanza saawa ze angolobe ."
